"","dataid","clusterid","block","svy","storewat","freechl","latseal","latfeces","humfeces","hwsw","hwss","hwsws","lnsp","rlnsp","hwcat"
"246","29107","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"247","29107","291",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"248","29108","291",2,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA
"249","29108","291",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"250","29108","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"251","29201","292",2,0,1,NA,1,0,1,1,0,0,NA,NA,1
"252","29201","292",2,1,1,0,0,0,1,1,0,0,0.9375,1,1
"253","29201","292",2,2,1,0,1,1,1,1,0,0,1.083333,1,1
"254","29202","292",2,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"255","29202","292",2,2,0,0,0,1,1,1,0,0,1.083333,0.1428571,1
"256","29202","292",2,1,0,0,0,0,1,1,1,1,1.03125,1,2
"257","29203","292",2,2,1,0,0,1,1,0,0,0,0.7692308,1,0
"258","29203","292",2,0,1,NA,1,1,1,1,0,0,NA,NA,1
"259","29203","292",2,1,1,0,1,1,1,1,0,0,1.03125,1,1
"260","29204","292",2,0,1,NA,1,1,1,1,0,0,NA,NA,1
"261","29204","292",2,1,1,0,1,1,1,1,0,0,1,1,1
"262","29204","292",2,2,0,0,0,1,1,1,0,0,0.9230769,1,1
"263","29205","292",2,0,1,NA,1,1,1,1,1,1,NA,NA,2
"264","29206","292",2,0,1,NA,NA,0,1,1,0,0,NA,NA,1
"265","29206","292",2,1,1,0,0,0,1,1,0,0,1.15625,1,1
"266","29206","292",2,2,1,0,0,1,1,0,0,0,0.9615384,1,0
"267","29207","292",2,1,1,0,NA,NA,1,1,0,0,0.9375,1,1
"268","29207","292",2,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA
"269","29207","292",2,2,1,0,0,1,1,1,0,0,0.9615384,1,1
"270","29208","292",2,2,0,0,1,1,1,1,0,0,0.9615384,1,1
"271","29208","292",2,1,0,0,0,0,1,1,1,1,1.125,1,2
"272","29208","292",2,0,0,NA,0,1,1,1,0,0,NA,NA,1
"273","29301","293",2,2,1,1,1,1,1,1,0,0,NA,NA,1
"274","29301","293",2,1,1,1,1,1,1,1,0,0,NA,NA,1
"275","29301","293",2,0,1,NA,1,1,1,1,0,0,NA,NA,1
"276","29302","293",2,0,1,NA,0,1,1,0,0,0,NA,NA,0
"277","29302","293",2,2,1,1,0,0,1,1,0,0,NA,NA,1
"278","29302","293",2,1,1,1,0,0,1,1,0,0,NA,NA,1
"279","29303","293",2,1,1,1,0,1,1,1,0,0,NA,NA,1
"280","29303","293",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"281","29303","293",2,2,1,1,0,1,1,1,1,1,NA,NA,2
"282","29304","293",2,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"283","29304","293",2,1,1,1,NA,0,1,1,0,0,NA,NA,1
"284","29305","293",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"285","29305","293",2,1,1,0,0,1,1,1,0,0,NA,NA,1
"286","29305","293",2,2,1,0,0,0,1,1,0,0,NA,NA,1
"287","29306","293",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"288","29307","293",2,2,1,1,0,0,1,1,0,0,NA,NA,1
"289","29307","293",2,1,1,1,0,0,1,1,0,0,NA,NA,1
"290","29307","293",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"291","29308","293",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"292","29308","293",2,2,1,0,0,1,1,1,0,0,NA,NA,1
"293","29308","293",2,1,1,1,0,1,1,1,0,0,NA,NA,1
"294","29401","294",2,0,1,NA,NA,0,1,1,0,0,NA,NA,1
"295","29401","294",2,1,1,0,0,0,1,1,0,0,NA,NA,1
"296","29401","294",2,2,0,0,0,1,1,1,0,0,NA,NA,1
"297","29402","294",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"298","29402","294",2,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
"299","29402","294",2,2,0,0,0,1,1,0,0,0,NA,NA,0
"300","29403","294",2,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"301","29403","294",2,2,1,0,0,0,1,1,0,0,NA,NA,1
"302","29403","294",2,1,0,0,NA,1,1,NA,NA,NA,NA,NA,NA
"303","29404","294",2,1,1,0,0,0,1,1,0,0,NA,NA,1
"304","29404","294",2,0,1,NA,1,1,1,1,0,0,NA,NA,1
"305","29404","294",2,2,1,0,0,1,1,1,0,0,NA,NA,1
"306","29405","294",2,0,1,NA,1,0,0,0,0,0,NA,NA,0
"307","29405","294",2,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
"308","29405","294",2,2,1,0,0,0,1,0,0,0,NA,NA,0
"309","29406","294",2,0,1,NA,1,0,1,1,0,0,NA,NA,1
"310","29406","294",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"311","29406","294",2,2,0,0,1,1,1,1,0,0,NA,NA,1
"312","29407","294",2,1,0,0,0,1,1,1,0,0,NA,NA,1
"313","29407","294",2,2,1,0,0,0,0,0,0,0,NA,NA,0
"314","29407","294",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"315","29408","294",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"316","29408","294",2,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA
"317","29408","294",2,2,1,0,0,1,1,1,0,0,NA,NA,1
"318","29501","295",2,2,1,0,1,1,1,0,0,0,NA,NA,0
"319","29501","295",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"320","29501","295",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"321","29502","295",2,2,0,0,1,1,1,1,0,0,NA,NA,1
"322","29502","295",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"323","29502","295",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"324","29503","295",2,2,0,0,1,1,1,0,0,0,NA,NA,0
"325","29503","295",2,0,1,NA,NA,NA,1,1,0,0,NA,NA,1
"326","29504","295",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"327","29504","295",2,2,0,0,1,1,1,1,0,0,NA,NA,1
"328","29504","295",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"329","29505","295",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"330","29505","295",2,2,1,0,1,0,1,1,0,0,NA,NA,1
"331","29505","295",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"332","29506","295",2,2,1,0,1,1,1,0,0,0,NA,NA,0
"333","29506","295",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"334","29506","295",2,1,1,0,1,1,1,1,0,0,NA,NA,1
"335","29507","295",2,1,1,0,1,1,1,0,0,0,NA,NA,0
"336","29507","295",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"337","29508","295",2,2,1,0,1,0,1,1,0,0,NA,NA,1
"338","29508","295",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"339","29601","296",3,2,1,0,0,1,1,1,1,1,NA,NA,2
"340","29601","296",3,0,1,NA,0,1,1,1,0,0,NA,NA,1
"341","29601","296",3,1,0,0,0,0,0,1,1,1,NA,NA,2
"342","29602","296",3,0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA
"343","29603","296",3,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"344","29603","296",3,2,1,0,0,1,1,1,1,1,NA,NA,2
"345","29603","296",3,1,1,0,0,0,1,1,1,1,NA,NA,2
"346","29604","296",3,0,1,NA,0,1,1,1,0,0,NA,NA,1
"347","29604","296",3,2,1,0,0,1,1,1,1,1,NA,NA,2
"348","29604","296",3,1,1,0,0,0,1,1,1,1,NA,NA,2
"349","29605","296",3,0,0,NA,1,0,1,NA,NA,NA,NA,NA,NA
"350","29605","296",3,2,1,0,0,0,1,1,1,1,NA,NA,2
"351","29605","296",3,1,1,0,0,0,1,1,1,1,NA,NA,2
"352","29606","296",3,2,1,0,0,0,1,1,1,1,NA,NA,2
"353","29606","296",3,0,1,NA,0,1,1,0,0,0,NA,NA,0
"354","29606","296",3,1,1,0,1,1,1,1,1,1,NA,NA,2
"355","29607","296",3,2,1,0,1,1,1,1,1,1,NA,NA,2
"356","29607","296",3,1,0,0,0,1,1,1,1,1,NA,NA,2
"357","29607","296",3,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"358","29701","297",3,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"359","29701","297",3,1,1,0,NA,NA,1,NA,NA,NA,0.9333333,1,NA
"360","29701","297",3,2,1,0,0,1,1,1,0,0,0.875,1,1
"361","29702","297",3,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"362","29702","297",3,2,1,0,0,1,1,1,1,1,0.9166666,1,2
"363","29702","297",3,1,1,0,0,0,1,NA,NA,NA,1,1,NA
"364","29703","297",3,1,1,0,0,0,1,1,0,0,1.02381,1,1
"365","29703","297",3,2,1,0,0,1,1,1,0,0,0.9166666,1,1
"366","29703","297",3,0,1,NA,0,0,1,1,0,0,NA,NA,1
"367","29704","297",3,2,1,0,0,0,1,0,0,0,1.045455,1,0
"368","29704","297",3,1,1,0,1,1,1,1,0,0,1,1,1
